variable,shifted_value,call_price,delta_vs_base
r,0.059199999999999996,74.29334638175942,-0.8383175173753443
r,0.0642,74.71180080617023,-0.4198630929645333
r,0.0692,75.13166389913476,0.0
r,0.0742,75.55293440888295,0.42127050974818303
r,0.07919999999999999,75.97561104935221,0.8439471502174456
sigma,0.26098973963440725,70.2181137891896,-4.913550109945163
sigma,0.27098973963440726,72.67473357705944,-2.4569303220753227
sigma,0.28098973963440727,75.13166389913476,0.0
sigma,0.2909897396344073,77.58885617284909,2.457192273714327
sigma,0.3009897396344073,80.0462676805912,4.914603781456435
