variable,shifted_value,call_price,delta_vs_base
r,0.059199999999999996,74.17143808218907,-0.8134801256592255
r,0.0642,74.5775193026268,-0.40739890522149835
r,0.0692,74.9849182078483,0.0
r,0.0742,75.39363351443603,0.40871530658773736
r,0.07919999999999999,75.8036639082643,0.8187457004160024
sigma,0.2606786515386781,70.21238393459521,-4.772534273253086
sigma,0.2706786515386781,72.59833733807432,-2.3865808697739794
sigma,0.2806786515386781,74.9849182078483,0.0
sigma,0.2906786515386781,77.3720464192429,2.387128211394611
sigma,0.3006786515386781,79.75965193150932,4.774733723661029
